problem_id,game,target,studyType
1893.0,VENDINGMACHINEGA,해체,1
1894.0,VENDINGMACHINEGA,패티,1
1895.0,VENDINGMACHINEGA,치카,1
1896.0,VENDINGMACHINEGA,하프,1
1897.0,VENDINGMACHINEGA,코트,1
1898.0,VENDINGMACHINEGA,피자,1
1899.0,VENDINGMACHINEGA,기차,1
1900.0,VENDINGMACHINEGA,카드,1
1901.0,VENDINGMACHINEGA,호두,1
1902.0,VENDINGMACHINEGA,하마,1
1903.0,PEAGAME,소파,0
1904.0,PEAGAME,배추,0
1905.0,PEAGAME,카레,0
1906.0,PEAGAME,파도,0
1907.0,PEAGAME,기타,0
1908.0,VENDINGMACHINEGA,다치다,1
1909.0,VENDINGMACHINEGA,케이크,1
1910.0,VENDINGMACHINEGA,피아노,1
1911.0,VENDINGMACHINEGA,스티커,1
1912.0,VENDINGMACHINEGA,토마토,1
1913.0,PEAGAME,마이크,0
1914.0,PEAGAME,더하기,0
1915.0,PEAGAME,카메라,0
1916.0,PEAGAME,마스크,0
1917.0,PEAGAME,테이프,0
1918.0,VENDINGMACHINEGA,주사,0
1919.0,VENDINGMACHINEGA,머리,0
1920.0,VENDINGMACHINEGA,포크,0
1921.0,VENDINGMACHINEGA,베개,0
1922.0,VENDINGMACHINEGA,하트,0
1923.0,PEAGAME,다치고,0
1924.0,PEAGAME,스티커,0
1925.0,PEAGAME,주머니,0
1926.0,PEAGAME,배고파,0
1927.0,VENDINGMACHINEGA,이유,1
1928.0,VENDINGMACHINEGA,내려,1
1929.0,VENDINGMACHINEGA,표시,1
1930.0,VENDINGMACHINEGA,자요,1
1931.0,VENDINGMACHINEGA,마셔,1
1932.0,PEAGAME,여우,0
1933.0,PEAGAME,가려,0
1934.0,PEAGAME,우표,0
1935.0,PEAGAME,켜요,0
1936.0,PEAGAME,요리,0
1937.0,VENDINGMACHINEGA,비켜요,1
1938.0,VENDINGMACHINEGA,요리사,1
1939.0,VENDINGMACHINEGA,내려가,1
1940.0,VENDINGMACHINEGA,두드려,1
1941.0,VENDINGMACHINEGA,아파요,1
1942.0,PEAGAME,비켜요,0
1943.0,PEAGAME,요리사,0
1944.0,PEAGAME,내려가,0
1945.0,PEAGAME,두드려,0
1946.0,PEAGAME,가야지,0
1947.0,PEAGAME,어디서,0
1948.0,PEAGAME,누구냐,0
1949.0,PEAGAME,가라고,0
1950.0,PEAGAME,이야기,0
1951.0,VENDINGMACHINEGA,자꾸,0
1952.0,VENDINGMACHINEGA,까요,0
1953.0,VENDINGMACHINEGA,빠져,0
1954.0,VENDINGMACHINEGA,어깨,0
1955.0,VENDINGMACHINEGA,쏘다,0
1956.0,PEAGAME,고마,0
1957.0,PEAGAME,빼다,0
1958.0,PEAGAME,어태,0
1959.0,PEAGAME,끄다,0
1960.0,PEAGAME,나다,0
1961.0,VENDINGMACHINEGA,빠르네,1
1962.0,VENDINGMACHINEGA,아저씨,1
1963.0,VENDINGMACHINEGA,따라가,1
1964.0,VENDINGMACHINEGA,깨져서,1
1965.0,VENDINGMACHINEGA,코끼리,1
1966.0,PEAGAME,쓰레기,0
1967.0,PEAGAME,바르다,0
1968.0,PEAGAME,끄세요,0
1969.0,PEAGAME,아저씨,0
1970.0,PEAGAME,코끼리,0
1971.0,VENDINGMACHINEGA,수건,0
1972.0,VENDINGMACHINEGA,나는,0
1973.0,VENDINGMACHINEGA,맵다,0
1974.0,VENDINGMACHINEGA,기린,0
1975.0,VENDINGMACHINEGA,먼저,0
1976.0,VENDINGMACHINEGA,돕고,0
